depvar,var1,coef,se,var2,coef2 ,se2,test
Value,1,0.017,0.013,1,0.017,0.013,0
Value,2,0.018,0.012,1,0.017,0.013,0.056523342
Value,3,0.045,0.009,1,0.017,0.013,1.77087549
Value,4,0.019,0.006,1,0.017,0.013,0.139686059
Value,1,0.017,0.013,2,0.018,0.012,-0.056523342
Value,2,0.018,0.012,2,0.018,0.012,0
Value,3,0.045,0.009,2,0.018,0.012,1.8
Value,4,0.019,0.006,2,0.018,0.012,0.074535599
Value,1,0.017,0.013,3,0.045,0.009,-1.77087549
Value,2,0.018,0.012,3,0.045,0.009,-1.8
Value,3,0.045,0.009,3,0.045,0.009,0
Value,4,0.019,0.006,3,0.045,0.009,-2.40370085
Value,1,0.017,0.013,4,0.019,0.006,-0.139686059
Value,2,0.018,0.012,4,0.019,0.006,-0.074535599
Value,3,0.045,0.009,4,0.019,0.006,2.40370085
Value,4,0.019,0.006,4,0.019,0.006,0
Volatility,1,0.026,0.007,1,0.026,0.007,0
Volatility,2,0.034,0.007,1,0.026,0.007,0.808122036
Volatility,3,0.011,0.008,1,0.026,0.007,-1.411081303
Volatility,4,0.023,0.01,1,0.026,0.007,-0.245769576
Volatility,1,0.026,0.007,2,0.034,0.007,-0.808122036
Volatility,2,0.034,0.007,2,0.034,0.007,0
Volatility,3,0.011,0.008,2,0.034,0.007,-2.163657997
Volatility,4,0.023,0.01,2,0.034,0.007,-0.901155113
Volatility,1,0.026,0.007,3,0.011,0.008,1.411081303
Volatility,2,0.034,0.007,3,0.011,0.008,2.163657997
Volatility,3,0.011,0.008,3,0.011,0.008,0
Volatility,4,0.023,0.01,3,0.011,0.008,0.937042571
Volatility,1,0.026,0.007,4,0.023,0.01,0.245769576
Volatility,2,0.034,0.007,4,0.023,0.01,0.901155113
Volatility,3,0.011,0.008,4,0.023,0.01,-0.937042571
Volatility,4,0.023,0.01,4,0.023,0.01,0
Volume,1,0.012,0.012,1,0.012,0.012,0
Volume,2,0.014,0.012,1,0.012,0.012,0.11785113
Volume,3,0.03,0.008,1,0.012,0.012,1.248075442
Volume,4,0.025,0.005,1,0.012,0.012,1
Volume,1,0.012,0.012,2,0.014,0.012,-0.11785113
Volume,2,0.014,0.012,2,0.014,0.012,0
Volume,3,0.03,0.008,2,0.014,0.012,1.109400392
Volume,4,0.025,0.005,2,0.014,0.012,0.846153846
Volume,1,0.012,0.012,3,0.03,0.008,-1.248075442
Volume,2,0.014,0.012,3,0.03,0.008,-1.109400392
Volume,3,0.03,0.008,3,0.03,0.008,0
Volume,4,0.025,0.005,3,0.03,0.008,-0.52999894
Volume,1,0.012,0.012,4,0.025,0.005,-1
Volume,2,0.014,0.012,4,0.025,0.005,-0.846153846
Volume,3,0.03,0.008,4,0.025,0.005,0.52999894
Volume,4,0.025,0.005,4,0.025,0.005,0