,article_id,Code,Date,Date_lag,Company,headline,orgs_mentioned,key_phrase,save_time,online_found
6156,761037,FERG.L,2001-05-24,2001-05-23, Ferguson;,"Wolseley expands into Canada CONSTRUCTION PLUMBERS' MERCHANT PAYS Pounds 250m
CASH FOR WESTBURNE GROUP:", Westburne Group; New York Stock Exchange; Westburne Supply; US; Teather;,Westburne Group New York Stock Exchange Westburne Supply US Teather,2023-03-30 23:03:42.070958,No
6157,814993,FERG.L,2002-02-28,2002-02-27, Ferguson;,Ferguson signs up for Pounds 11m, Manchester United;,Manchester United,2023-03-30 23:03:48.112806,No
6158,836368,FERG.L,2002-06-20,2002-06-19, Ferguson;,Ferguson takes on Sygen role PEOPLE, Institute of Grocery Distribution;,Institute of Grocery Distribution,2023-03-30 23:03:54.187790,No
6159,853940,FERG.L,2002-09-25,2002-09-24, Wolseley;,Wolseley LEX COLUMN, Hanson; CRH; Federal Reserve;,Hanson CRH Federal Reserve,2023-03-30 23:04:00.232461,No
6160,877866,FERG.L,2003-01-28,2003-01-27, Ferguson;,Ferguson joins settlement bank PEOPLE, Bank for International Settlements; US; Bank of Japan;,Bank for International Settlements US Bank of Japan,2023-03-30 23:04:06.309278,No
6161,888799,FERG.L,2003-03-26,2003-03-25, Ferguson;,Ferguson is levered away OBSERVER COLUMN, Nestle; Reuters;,Nestle Reuters,2023-03-30 23:04:17.539352,Yes
6162,901214,FERG.L,2003-05-30,2003-05-29, Ferguson;,"A food lover aiming for weightier profits: FOOD PRODUCERS: Iain Ferguson bears a
striking resemblance to his predecessor at Tate & Lyle. The group's new chief
executive i", US; Unilever; Birds Eye Walls;,US Unilever Birds Eye Walls,2023-03-30 23:04:28.697844,Yes
6163,919935,FERG.L,2003-09-10,2003-09-09, Ferguson;,Ferguson and Bernanke to be re-nominated to Fed, White House; Federal Reserve; Fed; Princeton; Senate;,White House Federal Reserve Fed Princeton Senate,2023-03-30 23:04:34.774709,No
6164,994979,FERG.L,2004-10-18,2004-10-17, Ferguson;,"OPINION: No passing fad, but no big deal: Hedge fund interest in private equity
is here to stay - as a marginal activity, says Nicholas Ferguson", Kohlberg Kravis Roberts; Mr Kravis; KKR; Carlyle Group; Blackstone Group; SVG Capital;,Kohlberg Kravis Roberts Mr Kravis KKR Carlyle Group Blackstone Group SVG Capital,2023-03-30 23:04:46.209170,Yes
6165,1017508,FERG.L,2005-03-14,2005-03-13, Ferguson;,MOVERS & SHAKERS James Ferguson, Monks Investment Trust; Association of Investment Trust Companies;,Monks Investment Trust Association of Investment Trust Companies,2023-03-30 23:04:52.315842,No
6166,1018686,FERG.L,2005-03-22,2005-03-21, Wolseley;,Wolseley's US reorganisation targeted for growth, US;,US,2023-03-30 23:05:08.664827,Yes
6167,1036132,FERG.L,2005-07-13,2005-07-12, Ferguson;,"The appliance of science to business INTERVIEW: Glover Ferguson of Accenture:
Research and development facilities harness tried and tested technologies to new
applications, writes Alan Cane", Stanford University; IBM; Foundation;,Stanford University IBM Foundation,2023-03-30 23:05:20.313883,Yes
6168,1046689,FERG.L,2005-09-27,2005-09-26, Wolseley;,Wolseley head to stand down as profits rise CONSTRUCTION, US; 11.5;,US,2023-03-30 23:05:36.393133,Yes
6169,1046725,FERG.L,2005-09-27,2005-09-26, Wolseley;,Flushed with success at Wolseley: LEX COLUMN, US;,US,2023-03-30 23:05:52.771784,Yes
6170,1046730,FERG.L,2005-09-27,2005-09-26, Wolseley;,Banks to step down as Wolseley's chief executive, US; 11.5;,US,2023-03-30 23:06:09.627082,Yes
6171,1072086,FERG.L,2006-03-13,2006-03-12, Ferguson;,"Swip banks on 'steady' property prospects There's mileage in the UK property
market yet, Gerry Ferguson tells Ellen Kelleher", Property; Standard & Poor's.;,Property Standard Poor s,2023-03-30 23:06:15.926670,No
6172,1092291,FERG.L,2006-07-25,2006-07-24, Wolseley;,Wolseley in Pounds 1bn Danish acquisition, DT Group; CVC Capital Partners; US; Arbuthnot Securities; Lehman Brothers;,DT Group CVC Capital Partners US Arbuthnot Securities Lehman Brothers,2023-03-30 23:06:27.156390,Yes
6173,1114502,FERG.L,2007-01-04,2007-01-03, Ferguson;,"The artful appliance of science Renovo chief Mark Ferguson has led the way for
British academics forging links with the commercial world. He talks to James
Wilson", University of Manchester; London Stock Exchange; US; UK; Manchester Biotechnology;,University of Manchester London Stock Exchange US UK Manchester Biotechnology,2023-03-30 23:06:33.298172,No
6174,1137157,FERG.L,2007-06-04,2007-06-03, Ferguson;,"Ferguson breaks ranks on buy-outs The head of SVG agrees that the low tax rate
paid on private equity income is hard to justify, writes Martin Arnold", SVG Capital; Financial Times; UK; Treasury; British Venture Capital Association; BVCA; Revenue & Customs; CBI; British Sky Broadcasting; Courtauld Institute of Art; Institute of Philanthropy;,SVG Capital Financial Times UK Treasury British Venture Capital Association BVCA Revenue Customs CBI British Sky Broadcasting Courtauld Institute of Art Institute of Philanthropy,2023-03-30 23:06:44.998297,Yes
6175,1164711,FERG.L,2007-11-20,2007-11-19, Ferguson;,Loss lies with Ferguson unit, US Federal Reserve; Swiss Re; Swiss Re America Holding; Davis Polk & Wardwell; US; Fed;,US Federal Reserve Swiss Re Swiss Re America Holding Davis Polk Wardwell US Fed,2023-03-30 23:06:56.155522,Yes
6176,1175906,FERG.L,2008-01-22,2008-01-21, Wolseley;,Wolseley profits down by 'almost a third', US; UK;,US UK,2023-03-30 23:07:12.026271,Yes
6177,1186942,FERG.L,2008-03-18,2008-03-17, Wolseley;,Wolseley hit hard by US building woes, US;,US,2023-03-30 23:07:29.332551,Yes
6178,1189835,FERG.L,2008-04-03,2008-04-02, Ferguson;,Former top Fed official Ferguson leaves Swiss Re, US Federal Reserve; US; Swiss Re; Credit Suisse; Lehman Brothers;,US Federal Reserve US Swiss Re Credit Suisse Lehman Brothers,2023-03-30 23:07:41.007677,Yes
6179,1223587,FERG.L,2008-10-24,2008-10-23, Ferguson;,"Wolseley sheds 3,000 jobs after failing to sell Stock", US; 200m for Stock;,US m for Stock,2023-03-30 23:07:47.028965,No
6180,1237180,FERG.L,2009-01-19,2009-01-18, Wolseley;,Wolseley equity proposal, US;,US,2023-03-30 23:08:03.853548,Yes
6181,1298949,FERG.L,2010-03-23,2010-03-22, Wolseley;,Wolseley moves to break with its acquisitive tradition, Build Center; RBS;,Build Center RBS,2023-03-30 23:08:10.075369,No
6182,1314839,FERG.L,2010-07-21,2010-07-20, Ferguson;,Austerity debate: DeLong v. Ferguson, US; 14.8; 22.7; Congressional Budget Office; Financial Times; FT; Treasury; International Capital; US Treasuries; US Treasury;,US Congressional Budget Office Financial Times FT Treasury International Capital US Treasuries US Treasury,2023-03-30 23:08:21.356008,Yes
6183,1322836,FERG.L,2010-09-28,2010-09-27, Wolseley;,Wolseley set for Swiss transfer, UK; United Business Media; WPP; US;,UK United Business Media WPP US,2023-03-30 23:08:32.556822,Yes
6184,1322896,FERG.L,2010-09-28,2010-09-27, Wolseley;,Wolseley looks to Switzerland for lower tax burden, UK; Implementation; United Business Media; WPP; US;,UK Implementation United Business Media WPP US,2023-03-30 23:08:43.673909,Yes
6185,1370769,FERG.L,2011-10-10,2011-10-09, Ferguson;,"View from the Top: Roger Ferguson, President, TIAA-CREF", US; US Federal Reserve; Department of Labor;,US US Federal Reserve Department of Labor,2023-03-30 23:08:49.737191,No
6186,1381064,FERG.L,2012-01-06,2012-01-05, Wolseley;,CRH loses ground in favour of Wolseley, Texas Industries; US; CRH; Credit Suisse; British Airways; Deutsche Bank; ENRC; First Quantum Minerals;,Texas Industries US CRH Credit Suisse British Airways Deutsche Bank ENRC First Quantum Minerals,2023-03-30 23:11:10.832108,Yes
6187,1381102,FERG.L,2012-01-06,2012-01-05, Wolseley;,CRH hit by uncertain earnings outlook but Wolseley advances, Texas Industries; US; CRH; Credit Suisse; British Airways; Deutsche Bank; ENRC; First Quantum Minerals; Energy; Maersk Oil; Morgan Stanley; Arm Holdings; Merrill Lynch; Merrill; International Personal Finance; Goldman Sachs; JJB Sports;,Texas Industries US CRH Credit Suisse British Airways Deutsche Bank ENRC First Quantum Minerals Energy Maersk Oil Morgan Stanley Arm Holdings Merrill Lynch Merrill International Personal Finance Goldman Sachs JJB Sports,2023-03-30 23:11:17.180833,No
6188,1391872,FERG.L,2012-04-05,2012-04-04, Ferguson;,Profile: Nicholas Ferguson, British Sky Broadcasting; SVG Capital; UK; SVG; Birds Eye Iglo; Financial Times;,British Sky Broadcasting SVG Capital UK SVG Birds Eye Iglo Financial Times,2023-03-30 23:13:38.420358,Yes
6189,1391984,FERG.L,2012-04-05,2012-04-04, Ferguson;,Ferguson faces tough challenge at BSkyB, News Corp; British Sky Broadcasting; News Corp which; 39.1; News Corp as; News Corp empire; News Corp.; SVG; FTSE; UK; Random House;,News Corp British Sky Broadcasting News Corp which News Corp as News Corp empire News Corp SVG FTSE UK Random House,2023-03-30 23:13:50.062727,Yes
6190,1436274,FERG.L,2013-05-09,2013-05-08, Ferguson;,"The ultimate manager: Sir Alex Ferguson quits after a 26-year masterclass in
dealing with clashing personalities", 900-page; UK; Crystal Palace;,page UK Crystal Palace,2023-03-30 23:13:56.077094,No
6191,1475968,FERG.L,2014-06-04,2014-06-03, Wolseley;,Wolseley, US; Wolseley;,US Wolseley,2023-03-30 23:14:07.573653,Yes
6192,1508646,FERG.L,2015-06-03,2015-06-02, Ferguson;,Correction: Niall Ferguson, UK Business Confidence Monitor;,UK Business Confidence Monitor,2023-03-30 23:14:18.884211,Yes
6193,1563878,FERG.L,2017-03-29,2017-03-28, Wolseley;,Wolseley drops its old name overboard on transatlantic voyage, Sahara; Department; EU; Arctic Circle; US; UK; US stock;,Sahara Department EU Arctic Circle US UK US stock,2023-03-30 23:14:30.301411,Yes
